Inital State,Search Objective,Path,Cost,Generated Nodes,Visited Nodes,Algorithm,Cost Function,Heuristic
"(19, 5)","(12, 23)","[(19, 5), (18, 5), (17, 5), (16, 5), (15, 5), (14, 5), (13, 5), (12, 5), (12, 6), (12, 7), (12, 8), (12, 9), (12, 10), (12, 11), (12, 12), (12, 13), (12, 14), (12, 15), (12, 16), (12, 17), (12, 18), (12, 19), (12, 20), (12, 21), (12, 22), (12, 23)]",285,1372,687,BFS,c2,h1
"(19, 5)","(12, 23)","[(19, 5), (18, 5), (17, 5), (16, 5), (15, 5), (14, 5), (13, 5), (12, 5), (12, 6), (12, 7), (12, 8), (12, 9), (12, 10), (12, 11), (12, 12), (12, 13), (12, 14), (12, 15), (12, 16), (12, 17), (12, 18), (12, 19), (12, 20), (12, 21), (12, 22), (12, 23)]",263,1372,687,BFS,c3,h1
"(19, 5)","(12, 23)","[(19, 5), (18, 5), (17, 5), (16, 5), (15, 5), (14, 5), (13, 5), (12, 5), (12, 6), (12, 7), (12, 8), (12, 9), (12, 10), (12, 11), (12, 12), (12, 13), (12, 14), (12, 15), (12, 16), (12, 17), (12, 18), (12, 19), (12, 20), (12, 21), (12, 22), (12, 23)]",257,1372,687,BFS,c4,h1
"(22, 18)","(26, 14)","[(22, 18), (23, 18), (24, 18), (25, 18), (26, 18), (26, 17), (26, 16), (26, 15), (26, 14)]",80,302,136,BFS,c1,h1
"(22, 18)","(26, 14)","[(22, 18), (23, 18), (24, 18), (25, 18), (26, 18), (26, 17), (26, 16), (26, 15), (26, 14)]",100,302,136,BFS,c2,h1
"(22, 18)","(26, 14)","[(22, 18), (23, 18), (24, 18), (25, 18), (26, 18), (26, 17), (26, 16), (26, 15), (26, 14)]",90,302,136,BFS,c3,h1
"(22, 18)","(26, 14)","[(22, 18), (23, 18), (24, 18), (25, 18), (26, 18), (26, 17), (26, 16), (26, 15), (26, 14)]",90,302,136,BFS,c4,h1
"(26, 21)","(30, 20)","[(26, 21), (27, 21), (28, 21), (29, 21), (30, 21), (30, 20)]",50,119,51,BFS,c1,h1
"(26, 21)","(30, 20)","[(26, 21), (27, 21), (28, 21), (29, 21), (30, 21), (30, 20)]",70,119,51,BFS,c2,h1
"(26, 21)","(30, 20)","[(26, 21), (27, 21), (28, 21), (29, 21), (30, 21), (30, 20)]",60,119,51,BFS,c3,h1
