Inital State,Search Objective,Path,Cost,Generated Nodes,Visited Nodes,Algorithm,Cost Function,Heuristic
"(22, 9)","(4, 27)","[(22, 9), (21, 9), (20, 9), (19, 9), (18, 9), (17, 9), (16, 9), (15, 9), (14, 9), (13, 9), (12, 9), (11, 9), (10, 9), (10, 10), (10, 11), (10, 12), (9, 12), (9, 13), (9, 14), (9, 15), (9, 16), (9, 17), (9, 18), (8, 18), (7, 18), (7, 19), (7, 20), (6, 20), (6, 21), (5, 21), (5, 22), (5, 23), (5, 24), (5, 25), (5, 26), (5, 27), (4, 27)]",450,1807,927,UCS,c2,h1
"(22, 9)","(4, 27)","[(22, 9), (22, 10), (22, 11), (21, 11), (20, 11), (19, 11), (18, 11), (17, 11), (17, 12), (17, 13), (17, 14), (16, 14), (15, 14), (14, 14), (14, 15), (14, 16), (14, 17), (13, 17), (12, 17), (11, 17), (11, 18), (11, 19), (11, 20), (10, 20), (9, 20), (8, 20), (8, 21), (8, 22), (8, 23), (7, 23), (6, 23), (6, 24), (6, 25), (6, 26), (6, 27), (5, 27), (4, 27)]",377,1809,928,UCS,c3,h1
"(22, 9)","(4, 27)","[(22, 9), (22, 10), (22, 11), (22, 12), (22, 13), (22, 14), (21, 14), (20, 14), (19, 14), (18, 14), (17, 14), (16, 14), (15, 14), (14, 14), (13, 14), (13, 15), (13, 16), (13, 17), (13, 18), (13, 19), (13, 20), (12, 20), (11, 20), (10, 20), (9, 20), (9, 21), (9, 22), (9, 23), (9, 24), (9, 25), (9, 26), (9, 27), (8, 27), (7, 27), (6, 27), (5, 27), (4, 27)]",306,1812,930,UCS,c4,h1
"(10, 22)","(9, 29)","[(10, 22), (9, 22), (9, 23), (9, 24), (9, 25), (9, 26), (9, 27), (9, 28), (9, 29)]",80,257,114,UCS,c1,h1
"(10, 22)","(9, 29)","[(10, 22), (10, 23), (10, 24), (9, 24), (9, 25), (9, 26), (9, 27), (9, 28), (9, 29)]",85,220,97,UCS,c2,h1
"(10, 22)","(9, 29)","[(10, 22), (10, 23), (10, 24), (10, 25), (10, 26), (9, 26), (9, 27), (9, 28), (9, 29)]",80,251,112,UCS,c3,h1
"(10, 22)","(9, 29)","[(10, 22), (10, 23), (10, 24), (10, 25), (10, 26), (10, 27), (10, 28), (10, 29), (9, 29)]",77,290,131,UCS,c4,h1
"(12, 25)","(19, 4)","[(12, 25), (12, 24), (13, 24), (14, 24), (14, 23), (15, 23), (15, 22), (15, 21), (15, 20), (15, 19), (15, 18), (15, 17), (16, 17), (16, 16), (16, 15), (16, 14), (16, 13), (17, 13), (17, 12), (17, 11), (17, 10), (18, 10), (18, 9), (18, 8), (18, 7), (18, 6), (18, 5), (19, 5), (19, 4)]",280,1542,777,UCS,c1,h1
"(12, 25)","(19, 4)","[(12, 25), (12, 24), (12, 23), (12, 22), (12, 21), (12, 20), (12, 19), (12, 18), (12, 17), (12, 16), (13, 16), (14, 16), (14, 15), (14, 14), (14, 13), (14, 12), (14, 11), (14, 10), (14, 9), (15, 9), (16, 9), (16, 8), (16, 7), (16, 6), (17, 6), (17, 5), (17, 4), (18, 4), (19, 4)]",315,1502,754,UCS,c2,h1
"(12, 25)","(19, 4)","[(12, 25), (12, 24), (12, 23), (12, 22), (13, 22), (14, 22), (15, 22), (15, 21), (15, 20), (15, 19), (15, 18), (16, 18), (16, 17), (16, 16), (16, 15), (16, 14), (16, 13), (17, 13), (18, 13), (18, 12), (18, 11), (18, 10), (18, 9), (19, 9), (19, 8), (19, 7), (19, 6), (19, 5), (19, 4)]",283,1531,771,UCS,c3,h1
"(12, 25)","(19, 4)","[(12, 25), (12, 24), (12, 23), (12, 22), (12, 21), (12, 20), (12, 19), (12, 18), (13, 18), (14, 18), (15, 18), (16, 18), (17, 18), (17, 17), (17, 16), (17, 15), (17, 14), (17, 13), (17, 12), (17, 11), (17, 10), (18, 10), (19, 10), (19, 9), (19, 8), (19, 7), (19, 6), (19, 5), (19, 4)]",252,1569,790,UCS,c4,h1
"(26, 17)","(21, 22)","[(26, 17), (25, 17), (25, 18), (24, 18), (24, 19), (23, 19), (22, 19), (22, 20), (22, 21), (21, 21), (21, 22)]",100,351,165,UCS,c1,h1
"(26, 17)","(21, 22)","[(26, 17), (25, 17), (24, 17), (24, 18), (23, 18), (23, 19), (23, 20), (23, 21), (22, 21), (22, 22), (21, 22)]",125,388,182,UCS,c2,h1
"(26, 17)","(21, 22)","[(26, 17), (26, 18), (26, 19), (25, 19), (24, 19), (23, 19), (22, 19), (21, 19), (21, 20), (21, 21), (21, 22)]",106,370,175,UCS,c3,h1
